Publication number,Family ID,Owner,title,Patenting date,Patent status,Impact score,Google link
EP-2785639-A1,47351596,Imec Vzw,Deposition of nano-diamond particles,11/29/2011,Pending,0.508566152,https://patents.google.com/patent/EP2785639A1
EP-2789581-A1,48574107,Konica Minolta Inc,Brennstoffgenerator und sekundärbatterie-brennstoffzellensystem damit,12/6/2011,Withdrawn,0.629015963,https://patents.google.com/patent/EP2789581A1
EP-2791964-A1,48947315,Canon Inc,Imprint apparatus and method of manufacturing article,2/7/2012,Granted,0.450351675,https://patents.google.com/patent/EP2791964A1
EP-2791966-A1,49160663,Canon Inc,"Imprint method, imprint apparatus, and article manufacturing method using the same",3/12/2012,Granted,0.500796682,https://patents.google.com/patent/EP2791966A1
EP-2794469-A1,47720759,Rohm And Haas Co,Grinding of an alkali or alkaline earth metal borohydride,2/3/2012,Withdrawn,0.406983814,https://patents.google.com/patent/EP2794469A1
EP-2795699-A1,48654870,University Of Texas System,"Conductive polymer-coated, shaped sulfur-nanocomposite cathodes for rechargeable lithium-sulfur batteries and methods of making the same",12/22/2011,Withdrawn,0.894832996,https://patents.google.com/patent/EP2795699A1
EP-2796409-A1,48668352,Bridgestone Corp,Method and apparatus for producing silicon microparticles,12/21/2011,Withdrawn,0.427074027,https://patents.google.com/patent/EP2796409A1
EP-2801551-A1,48444072,Maxplanckgesellschaft Zur Forderung Der Wissenschaften,Graphene with very high charge carrier mobility and preparation thereof,5/8/2013,Withdrawn,0.869872074,https://patents.google.com/patent/EP2801551A1
EP-2805367-A1,47070773,Clariant Produkte Deutschland Gmbh,Method for producing high-purity electrode materials,1/18/2012,Granted,0.464900456,https://patents.google.com/patent/EP2805367A1
EP-2806728-A1,48872867,Ncquest Inc,Carbon nanotube production method to stimulate soil microorganisms and plant growth produced from the emissions of internal combustion,1/27/2012,Granted,0.555360522,https://patents.google.com/patent/EP2806728A1
EP-2808036-A1,48872905,Soluciones Nanotecnologicas Sl,Superparamagnetic nanoparticles as a contrast agent for magnetic resonance imaging (mri) of magnetic susceptibility (t2*),1/27/2012,Pending,0.74692961,https://patents.google.com/patent/EP2808036A1
EP-2809614-A1,45876358,Universiteit Leiden,Thin graphene film formation,1/31/2012,Withdrawn,0.571731227,https://patents.google.com/patent/EP2809614A1
EP-2811283-A1,48905185,Nitto Denko Corp,Sample fixing member for nano indenter,2/3/2012,Withdrawn,0.240152362,https://patents.google.com/patent/EP2811283A1
EP-2812757-A1,47741295,Dow Corning Korea Ltd,Curable and patternable inks and method of printing,2/8/2012,Withdrawn,0.47547155,https://patents.google.com/patent/EP2812757A1
EP-2812909-A1,45896727,Universiteit Leiden,Method of forming a graphene film on a surface of a substrate,2/7/2012,Withdrawn,0.414040499,https://patents.google.com/patent/EP2812909A1
EP-2813467-A1,48947406,Az Electronic Materials Luxembourg Sarl,Inorganic polysilazane resin,2/8/2012,Pending,0.568799673,https://patents.google.com/patent/EP2813467A1
EP-2813471-A1,48947054,Silicio Ferrosolar Sl,"Metal or semiconductor melt refinement method, and vacuum refinement device",2/6/2012,Withdrawn,0.341542693,https://patents.google.com/patent/EP2813471A1
EP-2817091-A1,47749587,Nanograde Ag,Solution-processable tungsten oxide buffer layers and electronics comprising same,2/22/2012,Granted,0.484609393,https://patents.google.com/patent/EP2817091A1
EP-2818449-A1,49005404,Shin Etsu Chemical Co Ltd,Polycrystalline silicon rod manufacturing method,2/23/2012,Pending,0.315173131,https://patents.google.com/patent/EP2818449A1
EP-2818450-A1,49005403,Shin Etsu Chemical Co Ltd,Polycrystalline silicon rod manufacturing method,2/23/2012,Pending,0.426906474,https://patents.google.com/patent/EP2818450A1
EP-2820704-A1,49083265,Cornell University,Lithium containing nanofibers,3/2/2012,Pending,0.73479267,https://patents.google.com/patent/EP2820704A1
EP-2822066-A1,49082593,Sumitomo Bakelite Co Ltd,"Method for producing carbon material for negative electrodes of lithium ion secondary batteries, mixture for negative electrodes of lithium ion secondary batteries, negative electrode for lithium ion secondary batteries, and lithium ion secondary battery",2/27/2012,Withdrawn,0.300689184,https://patents.google.com/patent/EP2822066A1
EP-2822895-A1,49116012,Basf Se,Aerogel based on doped graphene,3/9/2012,Withdrawn,0.999245062,https://patents.google.com/patent/EP2822895A1
EP-2828196-A1,48040413,Lockheed Corp,Methods for perforating graphene using an activated gas stream and perforated graphene produced therefrom,3/21/2012,Withdrawn,0.680041869,https://patents.google.com/patent/EP2828196A1
EP-2828894-A1,48536927,University Of Manchester,Photovoltaic cells,3/22/2012,Pending,0.953112774,https://patents.google.com/patent/EP2828894A1
EP-2831315-A1,46160129,Oxford University Innovation Ltd,Procédé de production de nanomatériaux à deux dimensions,3/30/2012,Granted,0.665760253,https://patents.google.com/patent/EP2831315A1
EP-2831940-A1,46087131,Cambridge Enterprise Ltd,Powder comprising carbon nanostructures and its method of production,3/26/2012,Withdrawn,0.654297556,https://patents.google.com/patent/EP2831940A1
EP-2832688-A1,49258124,Oceans King Lighting Science And Technology Co Ltd,Method for preparing graphene paper,3/31/2012,Withdrawn,0.265733956,https://patents.google.com/patent/EP2832688A1
EP-2836460-A1,48227541,Ohio University,Verfahren zur herstellung von graphen,4/9/2012,Pending,0.560863275,https://patents.google.com/patent/EP2836460A1
EP-2841379-A1,49483716,Seerstone Llc,Carbon nanotubes having a bimodal size distribution,4/23/2012,Pending,0.369851377,https://patents.google.com/patent/EP2841379A1
EP-2842721-A1,49482791,Jxtg Nippon Oil And Energy Corp,"Method for producing mold for transferring fine pattern, method for producing substrate having uneven structure using same, and method for producing organic el element having said substrate having uneven structure",4/26/2012,Granted,0.633974519,https://patents.google.com/patent/EP2842721A1
EP-2842909-A1,49757905,Jfe Chemical Corp,"Method for producing amorphous carbon particles, amorphous carbon particles, negative electrode material for lithium ion secondary batteries, and lithium ion secondary battery",6/13/2012,Granted,0.347158614,https://patents.google.com/patent/EP2842909A1
EP-2843519-A2,51429050,Lg Innotek Co Ltd,Touch window and touch device including the same,8/27/2013,Granted,0.742268808,https://patents.google.com/patent/EP2843519A2
EP-2843738-A1,49179204,Toyo Ink Sc Holdings Co Ltd,"Composition for forming electrode of lithium secondary battery, electrode, and lithium secondary battery",4/27/2012,Withdrawn,0.781914322,https://patents.google.com/patent/EP2843738A1
EP-2847235-A1,50341596,Canon Inc,Photocurable composition and method of manufacturing film using the composition,9/24/2012,Granted,0.745377726,https://patents.google.com/patent/EP2847235A1
EP-2850032-A1,49584066,National University Of Singapore,"Methods of growing uniform, large-scale, multilayer graphene films",5/17/2012,Pending,0.465091054,https://patents.google.com/patent/EP2850032A1
EP-2850412-A1,49584146,Optofluidics Inc,Methods of using near field optical forces,5/14/2012,Withdrawn,0.98830682,https://patents.google.com/patent/EP2850412A1
EP-2850650-A1,50477292,Canon Inc,Photocurable composition and method for manufacturing film,10/9/2012,Granted,0.386714222,https://patents.google.com/patent/EP2850650A1
EP-2854204-A1,51619111,Samsung Electronics Co Ltd,"Composite, carbon composite including the composite, electrode, lithium battery, electroluminescent device, biosensor, semiconductor device, and thermoelectric device including the composite and/or the carbon composite",9/30/2013,Granted,0.854124247,https://patents.google.com/patent/EP2854204A1
EP-2856497-A1,49712578,Interfacial Solutions Ip Llc,Graphene coated substrates and resulting composites,6/5/2012,Granted,0.728352422,https://patents.google.com/patent/EP2856497A1
EP-2863455-A1,51989091,Lg Chem Ltd,"Porous silicon-based negative electrode active material, method for preparing same, and lithium secondary battery comprising same",5/30/2013,Granted,0.746422699,https://patents.google.com/patent/EP2863455A1
EP-2864246-A1,48576416,Evonik Industries Ag,Reactor and process for preparing hydrogen sulphide,6/22/2012,Granted,0.314919841,https://patents.google.com/patent/EP2864246A1
EP-2865028-A1,48833048,University Of Michigan,Large area organic photovoltaics,6/25/2012,Pending,0.245874884,https://patents.google.com/patent/EP2865028A1
EP-2865644-A1,49768845,Hitachi Chemical Co Ltd,Carbon nanotubes and production method thereof,6/22/2012,Granted,0.28878939,https://patents.google.com/patent/EP2865644A1
EP-2867164-A1,49781995,Mcgill University,Herstellung und funktionalisierung einer reinen nichtedelmetall-katalysatorstruktur mit zeitstabilität für grosskalibrige anwendungen,6/28/2012,Withdrawn,0.57801613,https://patents.google.com/patent/EP2867164A1
EP-2868641-A1,49783327,Mizushima Ferroalloy Co Ltd,"Gesinterte kugelförmige bn-teilchen mit einem konkaven teil, verfahren zur herstellung davon und polymermaterial damit",6/27/2012,Granted,0.565153847,https://patents.google.com/patent/EP2868641A1
EP-2871155-A1,49915920,Tokuyama Corp,Verfahren zur herstellung von polysilicium,7/9/2012,Withdrawn,0.392757229,https://patents.google.com/patent/EP2871155A1
EP-2872923-A1,47138087,Universita Degli Studi Di Salerno,Carbon nanomaterials based real time radiation dosimeter,7/12/2012,Withdrawn,0.400605006,https://patents.google.com/patent/EP2872923A1
EP-2873744-A1,50285938,Jx Nippon Mining And Metals Corp,Gewalzte kupferfolie zur graphenherstellung und herstellungsverfahren für graphen,8/16/2012,Withdrawn,0.473508287,https://patents.google.com/patent/EP2873744A1
EP-2874947-A1,49948551,Canon Inc,"Verfahren zur herstellung von hohlpartikeln, antireflexionsschicht und optisches element",7/20/2012,Withdrawn,0.391896329,https://patents.google.com/patent/EP2874947A1
EP-2875343-A1,49949294,Northeastern University Boston,Microfluidic-nanofluidic devices for detection and measurement of redox active substances,7/20/2012,Granted,0.57787173,https://patents.google.com/patent/EP2875343A1
EP-2876100-A1,49997280,Renaissance Energy Research Corp,Oxygenated product production system and oxygenated product production method,7/23/2012,Pending,0.354507333,https://patents.google.com/patent/EP2876100A1
EP-2880102-A1,46934918,Croda International Plc,"Particulate metal oxide particles comprising a metal oxide core and a coating layer comprising an inorganic material, a silane coupling agent and/or a hydrophobizing agent",8/6/2012,Pending,0.478329699,https://patents.google.com/patent/EP2880102A1
EP-2880125-A1,48953457,Dow Corning Corp,Method of improving photoluminescence of silicon nanoparticles,7/30/2012,Withdrawn,0.28505607,https://patents.google.com/patent/EP2880125A1
EP-2883613-A1,50101243,Jiangsu Zhongnen Polysilicon Technology Development Co Ltd,Method for preparing high sphericity seed crystal and fluidized bed particle silicon,8/13/2012,Pending,0.580106509,https://patents.google.com/patent/EP2883613A1
EP-2883838-A1,50068316,Lotte Fine Chemicals Co Ltd,Verfahren zur herstellung von lithiummetall-phosphoroxid,8/10/2012,Pending,0.466429833,https://patents.google.com/patent/EP2883838A1
EP-2883841-A1,50027907,National Institute Of Advanced Industrial Science And Technology Aist,"Joined structure comprising cube- or quadratic prism-shaped rock salt-type oxide nanoparticle with fine metal particle, and method for producing same",8/1/2012,Pending,0.468886583,https://patents.google.com/patent/EP2883841A1
EP-2884260-A1,49880408,Imec Vzw,Plasmonic wavelength selective switch,12/14/2013,Granted,0.623750017,https://patents.google.com/patent/EP2884260A1
EP-2885224-A1,50685656,Oaglobal Ip Ltd,Ozoneinheit für einen versandcontainer,8/15/2012,Withdrawn,0.564406205,https://patents.google.com/patent/EP2885224A1
EP-2891517-A1,51062310,Lg Chem Ltd,"Device for manufacturing lithium composite transition metal oxide, lithium composite transition metal oxide manufactured using same and method for manufacturing lithium composite transition metal oxide",1/3/2013,Granted,0.301297637,https://patents.google.com/patent/EP2891517A1
EP-2892066-A1,50183664,Kuraray Chemical Co Ltd,Carbonaceous material for negative electrodes of lithium ion capacitors and method for producing same,8/30/2012,Granted,0.575243711,https://patents.google.com/patent/EP2892066A1
EP-2892848-A1,50237496,Utc Power Llc,Method of processing a porous article,9/6/2012,Granted,0.268833164,https://patents.google.com/patent/EP2892848A1
EP-2894701-A1,50237104,Kureha Battery Materials Japan Co Ltd,Procédé de fabrication de matière carbonée pour électrode négative de batterie secondaire à électrolyte non aqueux,9/6/2012,Withdrawn,0.38013194,https://patents.google.com/patent/EP2894701A1
EP-2900596-A1,48534626,Robert Bosch Gmbh,Composite de silicium mésoporeux/carbone destiné à une utilisation comme matériau d'anode de batterie au lithium-ion et son procédé de préparation,11/30/2011,Granted,0.855298172,https://patents.google.com/patent/EP2900596A1
EP-2900761-A1,49253292,Upm Kymmene Oy,"Method for producing basic products from ash, in particular paper ash",9/25/2012,Granted,0.362485536,https://patents.google.com/patent/EP2900761A1
EP-2901488-A1,50384313,Intel Corp,Non-planar semiconductor device having germanium-based active region with release etch-passivation surface,9/28/2012,Pending,0.73635648,https://patents.google.com/patent/EP2901488A1
EP-2901849-A1,50388168,Toyo Tire And Rubber Co Ltd,"Artificial soil particles, artificial soil aggregates, artificial soil molded body, greening sheet, wall greening panel and gardening blocks using artificial soil molded body",9/27/2012,Withdrawn,0.794205938,https://patents.google.com/patent/EP2901849A1
EP-2904058-A1,47471589,Koninklijke Philips Nv,"Composition, imprinting ink and imprinting method",12/21/2012,Granted,0.758941209,https://patents.google.com/patent/EP2904058A1
EP-2905832-A1,53388273,Lg Chem Ltd,Negative electrode active material for lithium secondary battery and method for preparing same,10/31/2013,Granted,0.574154848,https://patents.google.com/patent/EP2905832A1
EP-2909276-A1,49382430,Institutt For Energiteknikk,"Method, powder, film&amp;lithium ion battery",10/17/2012,Pending,0.709920295,https://patents.google.com/patent/EP2909276A1
